paragraph|author
Alors, il pâlit, un désespoir lui emplit les yeux de larmes.  C'était l'écroulement de son existence, vingt années de camaraderie ambitieuse qui s'effondraient sous l'ingratitude de la foule.  Il descendit du tronc d'arbre, frappé au coeur, sans force pour continuer.|Zola
Le lendemain, heureusement, Jeanlin lui apporta une bonne nouvelle. Au Voreux, le cuvelage du puits menaçait de crever, les eaux filtraient de tous les joints; et l'on avait dû mettre une équipe de charpentiers à la réparation, en grande hâte.  ***446***|Zola
--Monsieur le directeur, c'est justement parce que je suis un homme tranquille, auquel on n'a rien à reprocher, que les camarades m'ont choisi.  Cela doit vous prouver qu'il ne s'agit pas d'une révolte de tapageurs, de mauvaises têtes cherchant à faire du désordre.  Nous voulons seulement la justice, nous sommes las de crever de faim, et il nous semble qu'il serait temps de s'arranger, pour que nous ayons au moins du pain tous les jours.|Zola
Cet ordre de son père ralentit un instant sa course.  Elle tremblait, des larmes gonflaient ses paupières.  Puis, malgré sa peur, elle revint, elle reprit sa place, toujours courant.  Alors, on la laissa.|Zola
--Nous levions la main comme ça, nous jurions de ne pas redescendre... Ah!  j'ai juré, oui! j'ai juré!|Zola
Mais ils s'arrêtèrent, pour regarder Zacharie et Mouquet, qui, après avoir bu une chope avec deux autres camarades, entamaient leur grande partie de crosse.  L'enjeu était une casquette neuve et un foulard rouge, déposés chez Rasseneur.  Les quatre joueurs, deux par deux, mirent au marchandage le premier tour, du Voreux à la ferme Paillot, près de trois kilomètres; et ce fut Zacharie qui l'emporta, il pariait en sept coups, tandis que Mouquet en demandait huit.  On avait posé la cholette, le petit oeuf de buis, sur le pavé, une pointe en l'air. Tous tenaient leur crosse, le maillet au fer oblique, au long manche garni d'une ficelle fortement serrée.  Deux heures sonnaient comme ils partaient.  Zacharie, magistralement, pour son premier coup composé d'une série de trois, lança la cholette à plus de quatre cents mètres, au travers des champs de betteraves; car il était défendu de choler dans les villages et sur les routes, où l'on avait tué du monde. Mouquet, solide lui aussi, déchola d'un bras si rude, que son coup unique ramena la bille de cent cinquante mètres en arrière.  Et la partie continua, un camp cholant, l'autre camp décholant, toujours au pas de course, les pieds meurtris par les arêtes gelées des terres de labour.|Zola
--Salaud! cochon! espèce de mufle!...  Attends, tu as mes pauvres bougres d'enfants à me payer, il faut que tu y passes!|Zola
--J'étais donc venue, avoua-t-elle enfin, pour savoir s'il y avait plus gras chez vous que chez nous...  As-tu seulement du vermicelle, à charge de revanche?|Zola
D'abord, la bande des mineurs descendue du coron se tint à distance. Ils étaient une trentaine au plus, ils se concertaient en paroles violentes et confuses.|Zola
Étienne, rudement, se heurta la tête.  Sans la barrette de cuir, il avait le crâne fendu.  Pourtant, il suivait avec attention, devant lui, les moindres gestes de Maheu, dont la silhouette sombre se détachait sur la lueur des lampes.  Pas un des ouvriers ne se cognait, ils devaient connaître chaque bosse, noeud des bois ou renflement de la roche.  Le jeune homme souffrait aussi du sol glissant, qui se trempait de plus en plus.  Par moments, il traversait de véritables mares, que le gâchis boueux des pieds révélait seul.  Mais ce qui l'étonnait surtout, c'étaient les brusques changements de température. En bas du puits, il faisait très frais, et dans la galerie de roulage, par où passait tout l'air de la mine, soufflait un vent glacé, dont la violence tournait à la tempête, entre les muraillements étroits. Ensuite, à mesure qu'on s'enfonçait dans les autres voies, qui recevaient seulement leur part disputée d'aérage, le vent tombait, la chaleur croissait, une chaleur suffocante, d'une pesanteur de plomb.|Zola
Ils empoignèrent les anses du baquet, et ils le vidaient dans le ruisseau, devant la porte, lorsque Jeanlin descendit, avec des vêtements secs, une culotte et une blouse de laine trop grandes, lasses de déteindre sur le dos de son frère.  En le voyant filer sournoisement par la porte ouverte, sa mère l'arrêta.|Zola
Il y eut une hésitation, lorsque Deneulin se montra en haut de l'escalier qui conduisait à la recette.|Zola
Elle se lavait à la hâte, elle passa un vieux jupon bleu, son plus propre, et un caraco de laine grise, auquel elle avait posé deux pièces la veille.|Zola
