paragraph|author
--Du désert! dit-elle avec amertume en montrant la vallée. Et, ajouta-t-elle, comme il raisonne, et combien de distinctions subtiles? les fidèles n'ont pas tant d'esprit.|Balzac
Le bon goût du comte, peut-être les conseils de son génie domestique, se montrèrent dans les circonstances nouvelles où le mettait le triomphe de sa cause. Il n'eut ni arrogance ni blessante politesse, il fut sans emphase, et la duchesse fut sans airs protecteurs. Monsieur et madame de Chessel acceptèrent avec reconnaissance le dîner du jeudi suivant. Je plus à la duchesse, et ses regards m'apprirent qu'elle examinait en moi un homme de qui sa fille lui avait parlé. Quand nous revînmes de vêpres, elle me questionna sur ma famille et me demanda si le Vandenesse occupé déjà dans la diplomatie était mon parent.--Il est mon frère, lui dis-je. Elle devint alors affectueuse à demi. Elle m'apprit que ma grand'tante, la vieille marquise de Listomère, était une Grandlieu. Ses manières furent polies comme l'avaient été celles de monsieur de Mortsauf le jour où il me vit pour la première fois. Son regard perdit cette expression de hauteur par laquelle les princes de la terre vous font mesurer la distance qui se trouve entre eux et vous. Je ne savais presque rien de ma famille. La duchesse m'apprit que mon grand-oncle, vieil abbé que je ne connaissais même pas de nom, faisait partie du conseil privé, mon frère avait reçu de l'avancement; enfin, par un article de la Charte que je ne connaissais pas encore, mon père redevenait marquis de Vandenesse.|Balzac
--Peut-être, reprit-elle. Mais, mon ami, soyez indulgent aux faiblesses des mourants, tranquillisez-moi. Quand vous arriverez à cette heure, vous penserez que je vous ai quitté vous bénissant. Me permettez-vous de laisser à notre ami que voici ce gage d'un sentiment profond, dit-elle en montrant une lettre qui était sur la cheminée? Il est maintenant mon fils d'adoption, voilà tout. Le cœur, cher comte, a ses testaments: mes derniers vœux imposent à ce cher Félix des œuvres sacrées à accomplir, je ne crois pas avoir trop présumé de lui, faites que je n'aie pas trop présumé de vous en me permettant de lui léguer quelques pensées. Je suis toujours femme, dit-elle en penchant la tête avec une suave mélancolie, après mon pardon je vous demande une grâce.--Lisez; mais seulement après ma mort, me dit-elle en me tendant le mystérieux écrit.|Balzac
Elle me regarda sous les tièdes rayons du soleil couchant qui glissaient à travers le feuillage, et prise de je ne sais quelle compassion pour nos débris, elle se replongea dans notre passé si pur, en se laissant aller à des contemplations qui furent mutuelles. Nous reprenions nos souvenirs, nos yeux allaient de la vallée au clos, des fenêtres de Clochegourde à Frapesle, en peuplant cette rêverie de nos bouquets embaumés, des romans de nos désirs. Ce fut sa dernière volupté, savourée avec la candeur de l'âme chrétienne. Cette scène, si grande pour nous, nous avait jetés dans une même mélancolie. Elle crut à mes paroles, et se vit où je la mettais, dans les cieux.|Balzac
Pendant que le comte parlait, madame de Mortsauf s'éloigna de nous insensiblement de manière à nous laisser seuls.|Balzac
--Une garde, répondit-elle, non, non. Nous le soignerons, s'écria-t-elle en me regardant; nous nous devons de le sauver!|Balzac
--Elle est adorablement spirituelle, dit-il à madame Granson. J'ai toujours prétendu qu'un jour elle démasquerait son artillerie.|Balzac
Il ne savait comment aborder mademoiselle Armande ni en quels termes lui apprendre cette nouvelle. Lui, qui venait de solder le compte des dettes au nom de la famille, tremblait d'avoir à parler de ces choses. En allant de la rue du Bercail à l'hôtel d'Esgrignon, le bon vieux notaire était palpitant comme une jeune fille qui se sauve de la maison paternelle pour n'y revenir que mère et désolée. Mademoiselle Armande venait de recevoir une lettre charmante d'hypocrisie, où son neveu paraissait être l'homme du monde le plus heureux. Après être allé aux Eaux et en Italie avec madame de Maufrigneuse, Victurnien envoyait le journal de son voyage à sa tante. L'amour respirait dans toutes ses phrases. Tantôt une ravissante description de Venise et d'enchanteresses appréciations des chefs-d'œuvre de l'art italien; tantôt des pages divines sur le Dôme de Milan, sur Florence; ici la peinture des Appennins opposée à celle des Alpes, là des villages, comme celui de Chiavari, où l'on trouvait autour de soi le bonheur tout fait, fascinaient la pauvre tante qui voyait planant à travers ces contrées d'amour un ange dont la tendresse prêtait à ces belles choses un air enflammé. Mademoiselle Armande savourait cette lettre à longs traits, comme le devait une fille sage, mûrie au feu des passions contraintes, comprimées, victime des désirs offerts en holocauste sur l'autel domestique avec une joie constante. Elle n'avait pas l'air ange comme la duchesse, elle ressemblait alors à ces statuettes droites, minces, élancées, de couleur jaune, que les merveilleux artistes des cathédrales ont mises dans quelques angles, au pied desquelles l'humidité permet au liseron de croître et de les couronner par un beau jour d'une belle cloche bleue. En ce moment, la clochette s'épanouissait aux yeux de cette Sainte: mademoiselle Armande aimait fantastiquement ce beau couple, elle ne trouvait pas condamnable l'amour d'une femme mariée pour Victurnien, elle l'eût blâmé dans toute autre; mais le crime ici aurait été de ne pas aimer son neveu. Les tantes, les mères et les sœurs ont une jurisprudence particulière pour leurs neveux, leurs fils et leurs frères. Elle se voyait donc au milieu des palais bâtis par les fées sur les deux lignes du grand canal à Venise. Elle y était dans la gondole de Victurnien qui lui disait combien il avait été heureux de sentir dans sa main la belle main de la duchesse, et d'être aimé en voyageant sur le sein de cette amoureuse reine des mers italiennes. En ce moment d'angélique béatitude, apparut au bout de l'allée, Chesnel! Hélas! le sable criait sous ses pieds, comme celui qui tombe du sablier de la Mort et qu'elle broie avec ses pieds sans chaussure. Ce bruit et la vue de Chesnel dans un état d'horrible désolation, donnèrent à la vieille fille la cruelle émotion que cause le rappel des sens envoyés par l'âme dans les pays imaginaires.|Balzac
Malgré mon impatience, je crus avoir fait le chemin en quelques minutes, tant j'étais absorbé par les réflexions amères qui se pressaient dans mon âme. Elle meurt de chagrin, et ses enfants vont bien! elle mourait donc par moi! Ma conscience menaçante prononça un de ces réquisitoires qui retentissent dans toute la vie et quelquefois au delà. Quelle faiblesse et quelle impuissance dans la justice humaine! elle ne venge que les actes patents. Pourquoi la mort et la honte au meurtrier qui tue d'un coup, qui vous surprend généreusement dans le sommeil et vous endort pour toujours, ou qui frappe à l'improviste, en vous évitant l'agonie? Pourquoi la vie heureuse, pourquoi l'estime au meurtrier qui verse goutte à goutte le fiel dans l'âme et mine le corps pour le détruire? Combien de meurtriers impunis! Quelle complaisance pour le vice élégant! quel acquittement pour l'homicide causé par les persécutions morales! Je ne sais quelle main vengeresse leva tout à coup le rideau peint qui couvre la société. Je vis plusieurs de ces victimes qui vous sont aussi connues qu'à moi: madame de Beauséant partie mourante en Normandie quelques jours avant mon départ! La duchesse de Langeais compromise! Lady Brandon arrivée en Touraine pour y mourir dans cette humble maison où lady Dudley était restée deux semaines, et tuée, par quel horrible dénoûment? vous le savez! Notre époque est fertile en événements de ce genre. Qui n'a connu cette pauvre jeune femme qui s'est empoisonnée, vaincue par la jalousie qui tuait peut-être madame de Mortsauf? Qui n'a frémi du destin de cette délicieuse jeune fille qui, semblable à une fleur piquée par un taon, a dépéri en deux ans de mariage, victime de sa pudique ignorance, victime d'un misérable auquel Ronquerolles, Montriveau, de Marsay donnent la main parce qu'il sert leurs projets politiques? Qui n'a palpité au récit des derniers moments de cette femme qu'aucune prière n'a pu fléchir et qui n'a jamais voulu revoir son mari après en avoir si noblement payé les dettes? Madame d'Aiglemont n'a-t-elle pas vu la tombe de bien près, et sans les soins de mon frère vivrait-elle? Le monde et la science sont complices de ces crimes pour lesquels il n'est point de Cours d'Assises. Il semble que personne ne meure de chagrin, ni de désespoir, ni d'amour, ni de misères cachées, ni d'espérances cultivées sans fruit, incessamment replantées et déracinées. La nomenclature nouvelle a des mots ingénieux pour tout expliquer; la gastrite, la péricardite, les mille maladies de femme dont les noms se disent à l'oreille, servent de passe-port aux cercueils escortés de larmes hypocrites que la main du notaire a bientôt essuyées. Y a-t-il au fond de ce malheur quelque loi que nous ne connaissons pas? Le centenaire doit-il impitoyablement joncher le terrain de morts, et le dessécher autour de lui pour s'élever, de même que le millionnaire s'assimile les efforts d'une multitude de petites industries? Y a-t-il une forte vie venimeuse qui se repaît des créatures douces et tendres? Mon Dieu! appartenais-je donc à la race des tigres? Le remords me serrait le cœur de ses doigts brûlants, et j'avais les joues sillonnées de larmes quand j'entrai dans l'avenue de Clochegourde par une humide matinée d'octobre qui détachait les feuilles mortes des peupliers dont la plantation avait été dirigée par Henriette, dans cette avenue où naguère elle agitait son mouchoir comme pour me rappeler! Vivait-elle? Pourrais-je sentir ses deux blanches mains sur ma tête prosternée? En un moment je payai tous les plaisirs donnés par Arabelle et les trouvai chèrement vendus! je me jurai de ne jamais la revoir, et je pris en haine l'Angleterre. Quoique lady Dudley soit une variété de l'espèce, j'enveloppai toutes les Anglaises dans les crêpes de mon arrêt.|Balzac
--Vous devriez avoir deviné que je suis mère, mon cher Chesnel, lui dit-elle en achevant de coucher son neveu, bel enfant de cinq ans.|Balzac
La pauvre fille, qui avait espéré entraîner son oncle dans une discussion matrimoniale par un argument _ad omnipotentem_, resta stupéfaite; mais les personnes dont l'esprit est obtus suivent la terrible logique des enfants qui consiste à aller de réponse en demande, logique souvent embarrassante.|Balzac
--Chère sainte, repris-je, il faudrait que je fusse moins ému que je ne le suis pour t'expliquer que tu planes victorieusement au-dessus d'elle, qu'elle est une femme de la terre, une fille des races déchues, et que tu es la fille des cieux, l'ange adoré, que tu as tout mon cœur et qu'elle n'a que ma chair; elle le sait, elle en est au désespoir, et elle changerait avec toi, quand même le plus cruel martyre lui serait imposé pour prix de ce changement. Mais tout est irrémédiable. A toi l'âme, à toi les pensées, l'amour pur, à toi la jeunesse et la vieillesse; à elle les désirs et les plaisirs de la passion fugitive; à toi mon souvenir dans toute son étendue, à elle l'oubli le plus profond.|Balzac
Il fallut la calmer, promettre de ne jamais lui causer une peine, et de l'aimer à vingt ans comme les vieillards aiment leur dernier enfant.|Balzac
--Azor est cependant un grand fournisseur, dit d'un air fin le Conservateur des hypothèques en essayant de passer du calembour au bon mot.|Balzac
--Mais volontiers, lui dis-je. Je suis, je vous l'avoue, d'une ignorance incroyable. Je ne distingue pas le seigle du blé, ni le peuplier du tremble; je ne sais rien des cultures, ni des différentes manières d'exploiter une terre.|Balzac
Parmi tout ce monde, une seule personne ne partageait pas ces illusions. N'est-ce pas nommer le vieux notaire Chesnel? Quoique son dévouement assez prouvé par cette histoire fût absolu envers cette grande famille alors réduite à trois personnes, quoiqu'il acceptât toutes ces idées et les trouvât de bon aloi, il avait trop de sens et faisait trop bien les affaires de la plupart des familles du département pour ne pas suivre l'immense mouvement des esprits, pour ne pas reconnaître le grand changement produit par l'Industrie et par les mœurs modernes. L'ancien intendant voyait la Révolution passée de l'action dévorante de 1793 qui avait armé les hommes, les femmes, les enfants, dressé des échafauds, coupé des têtes et gagné des batailles européennes, à l'action tranquille des idées qui consacraient les événements. Après le défrichement et les semailles, venait la récolte. Pour lui, la Révolution avait composé l'esprit de la génération nouvelle, il en touchait les faits au fond de mille plaies, il les trouvait irrévocablement accomplis. Cette tête de Roi coupée, cette Reine suppliciée, ce partage des biens nobles, constituaient à ses yeux des engagements qui liaient trop d'intérêts pour que les intéressés en laissassent attaquer les résultats. Chesnel voyait clair. Son fanatisme pour les d'Esgrignon était entier sans être aveugle, et le rendait ainsi bien plus beau. La foi qui fait voir à un jeune moine les anges du paradis est bien inférieure à la puissance du vieux moine qui les lui montre. L'ancien intendant ressemblait au vieux moine, il aurait donné sa vie pour défendre une châsse vermoulue. Chaque fois qu'il essayait d'expliquer, avec mille ménagements, à son ancien maître _les nouveautés_, en employant tantôt une forme railleuse, tantôt en affectant la surprise ou la douleur, il rencontrait sur les lèvres du marquis le sourire du prophète, et dans son âme la conviction que ces folies passeraient comme toutes les autres. Personne n'a remarqué combien les événements ont aidé ces nobles champions des ruines à persister dans leurs croyances. Que pouvait répondre Chesnel quand le vieux marquis faisait un geste imposant et disait:--Dieu a balayé Buonaparte, ses armées et ses nouveaux grands vassaux, ses trônes et ses vastes conceptions! Dieu nous délivrera du reste? Chesnel baissait tristement la tête sans oser répliquer:--Dieu ne voudra pas balayer la France! Ils étaient beaux tous deux: l'un en se redressant contre le torrent des faits, comme un antique morceau de granit moussu droit dans un abîme alpestre; l'autre en observant le cours des eaux et pensant à les utiliser. Le bon et vénérable notaire gémissait en remarquant les ravages irréparables que ces croyances faisaient dans l'esprit, dans les mœurs et les idées à venir du comte Victurnien d'Esgrignon.|Balzac
--Je vous entends, dit-elle, en m'interrompant avec une brusquerie insolite, vous avez raison. Le comte est nerveux comme une petite maîtresse, reprit-elle pour adoucir l'idée de la folie en adoucissant le mot, mais il n'est ainsi que par intervalles, une fois au plus par année, lors des grandes chaleurs. Combien de maux a causés l'émigration! Combien de belles existences perdues! Il eût été, j'en suis certaine, un grand homme de guerre, l'honneur de son pays.|Balzac
--Qu'a-t-on fait pour les Montauran, pour les Ferdinand qui sont morts ou ne se sont jamais soumis? se dit-il à voix basse. A ceux qui ont lutté le plus courageusement, on a jeté de misérables pensions, quelque lieutenance de Roi dans une forteresse, à la frontière. Évidemment il doutait de la Royauté. Mademoiselle d'Esgrignon essayait de rassurer son frère sur l'avenir de ce voyage, quand on entendit sur le petit pavé sec de la rue, le long des fenêtres du salon, un pas qui annonçait Chesnel. Le notaire se montra bientôt à la porte que Joséphin, le vieux valet de chambre du comte, ouvrit sans annoncer.|Balzac
--Comment? répondit-elle avec ce ton de hauteur que prennent les femmes quand on veut primer leurs sensations.|Balzac
Je lui avouai ma position de fantassin diplomatique traqué comme une bête fauve, et le gentilhomme s'arma de son royalisme pour disputer à monsieur de Chessel le danger de me recevoir. En apercevant Clochegourde, il me sembla que les huit mois qui venaient de s'écouler étaient un songe. Quand le comte dit à sa femme en me précédant:--Devinez qui je vous amène?... Félix.|Balzac
--Il a fait là un beau coup! s'écria-t-elle. Et son linge, et de l'argent! Il m'écrira, j'irai le retrouver. Ces pauvres enfants se croient toujours plus fins que père et mère. Et elle se coucha tranquille.|Balzac
--Oh! les pauvres femmes, s'écria la comtesse en exprimant une compatissante horreur. Mais où va-t-elle?|Balzac
 --C'est un homme de Plutarque, se dit Victurnien en jetant la lettre sur sa table. Il éprouva du dépit, il se sentait petit devant tant de grandeur.--Allons, il faut se réformer, se dit-il.|Balzac
Suzanne trotta de la rue du Cours par la rue de la Porte de Séez et la rue du Bercail, jusqu'à la rue du Cygne, où depuis cinq ans du Bousquier avait acheté une petite maison de province, bâtie en chaussins gris, qui sont comme les moellons du granit normand ou du schiste breton. L'ancien fournisseur s'était établi plus comfortablement que qui que ce fût en ville, car il avait conservé quelques meubles du temps de sa splendeur; mais les mœurs de la province avaient insensiblement effacé les rayons du Sardanapale tombé. Les vestiges de son ancien luxe faisaient dans sa maison l'effet d'un lustre dans une grange, car il n'y avait plus cette harmonie, lien de toute œuvre humaine ou divine. Sur une belle commode se trouvait un pot à l'eau à couvercle, comme il ne s'en voit qu'aux approches de la Bretagne. Si quelque beau tapis s'étendait dans sa chambre, les rideaux de croisée montraient les rosaces d'un ignoble calicot imprimé. La cheminée en pierre mal peinte jurait avec une belle pendule déshonorée par le voisinage de misérables chandeliers. L'escalier, par où tout le monde montait sans s'essuyer les pieds, n'était pas mis en couleur. Enfin, les portes mal réchampies par un peintre du pays effarouchaient l'œil par des tons criards. Comme le temps que représentait du Bousquier, cette maison offrait un amas confus de saletés et de magnifiques choses. Du Bousquier pouvait être considéré comme un homme à l'aise, il menait la vie parasite du chevalier; et celui-là sera toujours riche qui ne dépense pas son revenu. Il avait pour tout domestique une espèce de Jocrisse, garçon du pays, assez niais, façonné lentement aux exigences de du Bousquier qui lui avait appris, comme à un orang-outang, à frotter les appartements, essuyer les meubles, cirer les bottes, brosser les habits, venir le chercher le soir avec la lanterne quand le temps était couvert, avec des sabots quand il pleuvait. Comme certains êtres, ce garçon n'avait d'étoffe que pour un vice, il était gourmand. Souvent, lorsqu'il se donnait des dîners d'apparat, du Bousquier lui faisait quitter sa veste de cotonnade bleue carrée à poches ballottantes sur les reins et toujours grosses d'un mouchoir, d'un eustache, d'un fruit ou d'un casse-museau, il lui faisait endosser un habillement d'ordonnance, et l'emmenait pour servir. René s'empiffrait alors avec les domestiques. Cette obligation que du Bousquier avait tournée en récompense lui valait la plus absolue discrétion de son domestique breton.|Balzac
